id,label
290332564,114
7700594,114
84630707,114
2175659527,114
84630700,114
2348146067,114
4730501944,114
1893936782,115
1893936796,115
10366372014,115
390445562,115
49800878178,115
49801735742,115
5402784668,115
49800879008,115
29643511558,115
390444613,115
49801424611,115
390444948,115
49801425281,115
2426795789,115
2815606648,115
5402185841,115
358464888,115
390445198,115
5402783534,115
391371742,115
5402185123,115
391372027,115
391371194,115
23783987044,41
394404725,115
37650614094,115
9356221671,115
15050443410,115
15236773612,115
15237134785,115
15234077121,115
15234069121,115
15050399989,115
9356224243,115
15050389009,115
9356194975,115
390413316,115
49800876003,115
15050387669,115
49801733067,115
15234078351,115
23076072962,115
49801733257,115
49801423176,115
390446038,115
49800877633,115
9568082668,116
5023838259,116
14993487073,116
8730902798,116
3294661120,116
3293832567,116
3294660232,116
3294659188,116
3293828777,116
3294655978,116
3294655162,116
3461744219,116
3397520110,116
5646372364,116
12986434715,116
7988985172,116
7161223999,116
17092651720,116
506623771,116
506593596,116
4322439593,116
3211735229,116
7988979850,116
2036194853,116
3579563104,116
3757969962,116
1584006774,116
2716377587,116
2921078297,116
366564799,116
3838437592,116
506593416,116
3833522570,116
104715004,116
3838436898,116
3816373326,116
280973775,116
8177248101,116
506616871,116
3578757499,116
2867116935,116
506593110,116
316011032,116
381171519,116
3770563874,116
10426699536,116
1291180854,116
506616669,116
2716379081,116
3505530459,116
3506345484,116
3507823732,116
296343250,116
3507819476,116
3507000663,116
3507806742,116
3770563034,116
3506359566,116
2717192200,116
3507829924,116
3505527283,116
3505523381,116
6778470175,116
3507007983,116
2853163653,116
7760155372,116
5107173041,116
3507825228,116
4552078212,116
5417339991,116
2867118077,116
10426682474,116
3817652829,116
287252548,116
4064898531,116
3507003905,116
1940538152,116
3505554179,116
117101049,116
38077340,116
296343251,116
117100897,116
5442330568,116
381171524,116
4064786143,116
287252552,116
8188218077,116
503916715,116
3505546329,116
17018374477,117
36696977243,117
148536130,117
3149332325,117
296684069,60
28082064016,117
6775484558,117
4807608253,117
5473839947,117
3027102077,117
4704298862,117
6276541222,117
14232581369,117
2569677256,117
359505923,117
3374083520,60
3969761813,117
31314163073,117
36514764050,117
4222739892,117
4203038636,117
3673474517,117
7628,60
23762176829,60
8400841496,117
28428818,67
8457,60
2250057112,117
8904403413,117
4867451405,60
3673479381,117
2117021728,117
1987806,117
522506756,117
4533822956,117
3954856470,60
2569620822,117
2822057698,60
33721698750,117
38771668394,117
6187614080,117
5581693070,117
4953350425,60
2275882371,117
3781126645,117
6699848861,117
6187612288,117
522519803,117
2822042354,60
35573683614,117
4533829778,117
33949580332,117
634588138,117
2116244001,117
2300701488,117
2275883321,117
1808211286,117
2117022228,117
3332134323,117
4866387891,117
2822027402,117
359505431,117
2250056402,117
7882378430,60
2300701342,117
1808211744,60
158997241,117
1388890262,60
293961939,117
6187632220,117
36100236663,117
411150455,118
2656955665,118
2149981608,68
2149980514,68
2296897953,119
32584459431,119
8570472405,119
27603573837,119
27603573567,119
14391493957,119
4853135919,119
26130988163,119
8247106859,119
8247106015,119
8247103877,119
8247106431,119
8248172868,119
6934312404,119
8248171016,119
3023144489,119
3883657752,119
5256450656,119
14255407576,119
7101489315,119
27603573047,119
5945784054,77
48065373297,119
2253840182,119
8247104351,119
12994648835,119
304623778,119
1805661017,119
456789454,119
456804321,119
2490701832,119
456802837,119
4330662492,119
456805705,119
24053666019,119
456805099,119
10410455064,119
4705048607,119
31668794777,102
2074329695,119
24053675459,119
456790212,119
4697884635,119
456805331,119
456804887,119
456804095,119
50373024246,119
6634713355,119
456804517,119
50373205427,119
50373185127,119
456803971,119
456787644,119
19096227659,119
19286244691,119
248145208,119
6363285,119
5482563806,119
3188153710,119
6866104916,119
48950672301,119
4897217,119
2770959272,119
5090822250,119
3188153698,119
11406003893,119
8210690448,119
207936252,119
5085489008,119
11405870726,119
19878891723,119
3386139750,119
2359092208,119
3354233863,119
5090824070,119
2074809462,119
48950130023,73
4897218,119
2075121856,119
2724091962,119
2601712337,119
11406003753,119
2601712931,119
2770111885,119
222862787,119
2359098016,119
48950130413,73
2770959372,119
11406003053,119
5090825288,119
10067223693,119
8197517669,119
213877505,119
5305121283,119
7673378052,119
36534253,119
36123644816,119
23122527653,119
3439612904,119
3221749732,119
22492645,102
208589492,119
20479692466,119
208944939,119
20317951709,102
8220245413,119
210959127,119
20317416260,102
5169413751,75
3416024287,21
15116700449,111
557549044,19
2634287070,27
4147790251,19
8730707284,112
5699905906,112
30618373272,112
30618374792,112
15369638157,112
20564147924,28
16470158346,112
487587217,112
4142496956,112
4377569451,112
15159649529,112
24504471979,112
2655999148,112
4335536585,112
8729589749,112
15323389746,112
8608313534,112
14344433903,112
14126037633,112
14251649001,90
8729591051,112
49761046748,112
4558580325,112
677687283,112
4336280744,112
267206696,112
3802729096,112
4336254166,112
864031395,112
4317133201,112
4336276430,112
464587365,112
6890988893,112
8568998542,112
15347577329,112
6609266087,112
7927203616,112
6370213863,112
8505789178,112
5973471265,112
320404380,67
6980908569,112
8607130597,112
